x,T,p,U_0,U_1,U_2
0.0547739,1286.49,100107,0.138371,-2.25727e-05,0
0.0552764,1287.06,100106,0.138717,-1.97712e-05,0
0.0557789,1287.82,100104,0.137671,-2.22254e-05,0
0.0562814,1288.36,100103,0.138156,-1.89777e-05,0
0.0567839,1289.13,100101,0.136989,-2.18899e-05,0
0.0572864,1289.64,100100,0.13761,-1.8221e-05,0
0.0577889,1290.4,100099,0.136324,-2.15657e-05,0
0.0582915,1290.88,100098,0.13708,-1.74987e-05,0
0.058794,1291.65,100096,0.135676,-2.12521e-05,0
0.0592965,1292.1,100095,0.136564,-1.6809e-05,0
0.059799,1292.87,100093,0.135045,-2.09486e-05,0
0.0603015,1293.29,100092,0.136062,-1.61498e-05,0
0.060804,1294.07,100091,0.134428,-2.06547e-05,0
0.0613065,1294.46,100090,0.135574,-1.55194e-05,0
0.061809,1295.24,100088,0.133827,-2.03699e-05,0
0.0623116,1295.61,100087,0.135099,-1.49162e-05,0
0.0628141,1296.39,100086,0.133239,-2.0094e-05,0
0.0633166,1296.73,100085,0.134636,-1.43387e-05,0
0.0638191,1297.51,100083,0.132665,-1.98264e-05,0
0.0643216,1297.82,100082,0.134186,-1.37854e-05,0
0.0648241,1298.62,100081,0.132104,-1.95666e-05,0
0.0653266,1298.9,100080,0.133746,-1.3255e-05,0
0.0658291,1299.7,100078,0.131556,-1.93144e-05,0
0.0663317,1299.96,100077,0.133318,-1.27463e-05,0
0.0668342,1300.76,100076,0.13102,-1.90694e-05,0
0.0673367,1300.99,100074,0.1329,-1.22581e-05,0
0.0678392,1301.8,100073,0.130496,-1.88314e-05,0
0.0683417,1302.01,100072,0.132492,-1.17895e-05,0
0.0688442,1302.82,100071,0.129982,-1.85999e-05,0
0.0693467,1303.01,100069,0.132095,-1.13393e-05,0
0.0698492,1303.82,100068,0.12948,-1.83748e-05,0
0.0703518,1303.99,100067,0.131706,-1.09066e-05,0
0.0708543,1304.81,100066,0.128988,-1.81558e-05,0
0.0713568,1304.95,100064,0.131327,-1.04905e-05,0
0.0718593,1305.77,100063,0.128506,-1.79425e-05,0
0.0723618,1305.89,100062,0.130957,-1.00904e-05,0
0.0728643,1306.72,100061,0.128035,-1.77348e-05,0
0.0733668,1306.82,100059,0.130596,-9.70522e-06,0
0.0738693,1307.65,100058,0.127572,-1.75325e-05,0
0.0743719,1307.73,100057,0.130243,-9.33442e-06,0
0.0748744,1308.57,100056,0.127119,-1.73353e-05,0
0.0753769,1308.62,100055,0.129897,-8.97727e-06,0
0.0758794,1309.46,100054,0.126675,-1.7143e-05,0
0.0763819,1309.49,100052,0.12956,-8.63313e-06,0
0.0768844,1310.35,100051,0.126239,-1.69555e-05,0
0.0773869,1310.36,100050,0.12923,-8.30139e-06,0
0.0778894,1311.21,100049,0.125811,-1.67724e-05,0
0.078392,1311.21,100048,0.128908,-7.98149e-06,0
0.0788945,1312.07,100047,0.125392,-1.65938e-05,0
0.079397,1312.03,100045,0.128592,-7.67288e-06,0
0.0798995,1312.91,100044,0.12498,-1.64194e-05,0
0.080402,1312.85,100043,0.128282,-7.37506e-06,0
0.0809045,1313.73,100042,0.124575,-1.6249e-05,0
0.081407,1313.66,100041,0.12798,-7.08756e-06,0
0.0819095,1314.54,100040,0.124178,-1.60825e-05,0
0.0824121,1314.45,100038,0.127684,-6.80992e-06,0
0.0829146,1315.34,100037,0.123788,-1.59198e-05,0
0.0834171,1315.22,100036,0.127394,-6.5417e-06,0
0.0839196,1316.13,100035,0.123405,-1.57608e-05,0
0.0844221,1315.99,100034,0.12711,-6.28252e-06,0
0.0849246,1316.9,100033,0.123029,-1.56052e-05,0
0.0854271,1316.74,100032,0.126832,-6.03198e-06,0
0.0859296,1317.66,100031,0.122659,-1.5453e-05,0
0.0864322,1317.47,100029,0.12656,-5.78974e-06,0
0.0869347,1318.41,100028,0.122295,-1.5304e-05,0
0.0874372,1318.19,100027,0.126293,-5.55537e-06,0
0.0879397,1319.14,100026,0.121938,-1.51582e-05,0
0.0884422,1318.9,100025,0.126031,-5.32882e-06,0
0.0889447,1319.86,100024,0.121586,-1.50154e-05,0
0.0894472,1319.6,100023,0.125774,-5.10891e-06,0
0.0899497,1320.58,100022,0.12124,-1.48758e-05,0
0.0904523,1320.28,100021,0.125524,-4.89823e-06,0
0.0909548,1321.28,100020,0.1209,-1.4738e-05,0
0.0914573,1320.95,100018,0.125277,-4.68721e-06,0
0.0919598,1321.96,100017,0.120565,-1.46069e-05,0
0.0924623,1321.61,100016,0.125035,-4.50423e-06,0
0.0929648,1322.64,100015,0.120236,-1.44665e-05,0
0.0934673,1322.25,100014,0.124799,-4.26906e-06,0
0.0939698,1323.31,100013,0.119911,-1.43684e-05,0
0.0944724,1322.89,100012,0.124565,-4.1862e-06,0
0.0949749,1323.96,100011,0.119591,-1.41945e-05,0
0.0954774,1323.5,100010,0.124336,-3.86355e-06,0
0.0959799,1324.61,100009,0.119279,-1.42027e-05,0
0.0964824,1324.1,100007,0.124121,-3.71952e-06,0
0.0969849,1325.26,100006,0.118957,-1.4452e-05,0
0.0974874,1324.76,100005,0.123849,-5.20704e-06,0
0.0979899,1325.82,100004,0.118684,-1.12353e-05,0
0.0984925,1325.1,100003,0.123798,6.3748e-06,0
0.098995,1326.57,100002,0.118335,-1.3854e-05,0
0.0994975,1326.18,100001,0.123309,-1.35015e-05,0
0.1,1283.31,100000,0.150588,-2.37629e-05,0
